sitzung,titel
201, Wurftraining für StuRa-Mitglieder
201, Institutionalisierung von AKs und AGs
202, Eröffnung der 202. StuRa-Sitzung
202, Stimmungbild zu Wohnheimen
202, Beschluss der Tagesordnung
202," Aufnahme von TOP 10.2: Antrag zur “Unterstützung Disco Ergo Sum (Party der Fachschaften der Philosophischen Fakultät und Anglistik)”"""
202, Vorziehen des Top 10.2 Antrag zur “Unterstützung Disco Ergo Sum (Party der Fachschaften der Philosophischen Fakultät und Anglistik)”
202, TOPs 7.17 und 7.18 zusammen vorstellen
202," TOP ""Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater"" vor Berichte"
202, Sonstiger Antrag: Termin(e): KI und Ethik - Interdisziplinäre Vortragsreihe
202, Sonstiger Antrag: Hygieneprodukte & -spender an der Universität Heidelberg
202, Änderungsantrag zum Antrag “Unterstützung Disco Ergo Sum (Party der Fachschaften der Philosophischen Fakultät und Anglistik)”
202, Mitgliedschaft im Förderverein der Landesstudierendenvertretung Baden-Württemberg e.V.
202, Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater
202, Bericht des autonomen Enthinderungsreferats im Sommersemester 2025
202, Bericht der Wahlkommission
202, Bericht des Vorsitzes
202, Kandidatur für das Kultur- und Sportreferat
202, Kandidatur von Theodora Goia für Das Präsidium
202, Kandidaturen für das AI-Board
202, Colin Fyock
202, Tobias Thaller
202, Jan Best
202, Anton Fortuin
202, Yagmur Yüzak
202, Simon Tebeck
202," Kandidatur für das Inter*, Trans*, Frauen und Non- Binary Referat"
202, Kandidatur für den Senat
202, Kandidatur als stellvertretendes Mitglied der Vertretungsversammlung des StuWe
202, Kandidaturen für das QSM-Referat
202, Kandidatur für das QSM-Referat
202, Kandidatur für das QSM-Referat
202, Kandidatur für das QSM-Referat
202, Kandidatur für den Notlagenausschuss
202, Stimmungsbild zu den Themen die wir mit der Rektorin besprechen möchten
202, Satzungsänderung: Satzung der Studienfachschaft Mathematik
202, Änderungsantrag: Satzungsänderung: Satzung der Studienfachschaft Mathematik
202, Satzungsänderung: Satzung der Studienfachschaft Informatik
202, Änderungsantrag: Satzungsänderung: Satzung der Studienfachschaft Informatik
202, Satzungsänderung: Satzung der Studienfachschaft Physik
202, Änderungsantrag: Satzungsänderung: Satzung der Studienfachschaft Physik
202, Änderung / Neufassung der Satzung der Studienfachschaft Medizin Mannheim der Universität Heidelberg
202, „Für geordnete Arbeitsverhältnisse in der VS“
202," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
202, „Rechtssicherheit für Beitragsänderungen“
202, Neue Amtszeiten für den Vorsitz
202, Änderungsantrag: Neue Amtszeiten für den Vorsitz
202, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
202, Satzungsänderung: CVE 1 (Wahlordnung)
202, Satzungsänderung: Bewirtungsfaschorichtlinie
202, Satzungsänderung: Geschäftsordnung des Studierendenrats
202, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
202, Positionierung: Unterstützung Campusradio „radioaktiv“
202, Dringlichkeit
202," Wer wählt, der zählt! Positionierung für sich selbst"
202," Änderungsantrag: Wer wählt, der zählt! Positionierung für sich selbst"
202, „Mitgliedschaft im Bundesverband Promovierende e.V.“
202, Cooler Merch für die VS
202, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
202, Aufnehmen von Lecktüchern in den Änderungsantrag
202, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
202, Kondome zu Samen! (zusamen)
202, Studierendenrat fordert konsequente Mülltrennung an der Universität
202, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
202, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
202, Studierendenrat fordert Interimslösung für den Marstall
202, Gründung AK Im Neuenheimer Feld
202, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
202, Gründung eines Nachhaltigkeitsnetzwerk
202, Forderung nach einem Green Offices
202, Transparenz zur Nachhaltigkeitsstrategie
202, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
202, Zum Sozialismus! Zur Koka Kola Freiheit!
202, Mehr Fahrradstellplätze
202, Stoppt die massive Preiserhöhung beim Cappuccino!
202, Ausweitung der Leistungen des Studierendenwerks
202, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
202, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
202, Positionierung: Forderung einer inklusiveren Mensa
202, Positionierung: Verbot von zu heißem Verkehr
202, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
202, Positionierung: Mehr Feld in die Feldmensa
202, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
202, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
202," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
202, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
202, „Raumnot bei den Colis (und vielleicht auch bei euch)“
202, Kritik an der Exekutive / zentralen VS
202, Diskussion Causa Lemmermeyer
202, Wurftraining für StuRa-Mitglieder
202, Institutionalisierung von AKs und AGs
203, Eröffnung der 203. StuRa-Sitzung
203," Antrag auf Aufnahme des Antrags ""Einrichtung einer Probe-Flatrate mit dem Völkerkundemuseum“ und ""Einrichtung einer Probe-Flatrate mit dem Kurpfälzischen Museum""der Tagesordnung"
203," Vorziehen der TOPs ""Einrichtung einer Probe-Flatrate mit dem Kurpfälzischen Museum/Völkerkundemuseum"""
203," Verschieben von ""Hygieneproduktespender und Afterparty running Dinner"" ans Ende der Finanzanträge in einer Lesung"
203," Vorziehen des TOPs ""Positionierung: Ja zur LaStuVe BaWü II"" vor die Finanzanträge"
203, Beschluss der Tagesordnung
203, Einrichtung einer Probe-Flatrate mit dem Kurpfälzischen Museum
203, Einrichtung einer Probe-Flatrate mit dem Völkerkundemuseum
203, Beschluss des Protokolls der 200. Sitzung
203, Beschluss des Protokolls der 201. Sitzung
203, Kostenlose Mietrechtsberatung
203, Sonstiger Antrag: Hygieneprodukte & -spender an der Universität Heidelberg
203, Kandidatur: Mitglied des StuWe-Verwaltungsrates
203, StuWe Verwaltungsrat
203, Positionierung: Ja zur LaStuVe BaWü II
203, Finanzierung der Trikots für das Winckelmann Cup-Team der Fachschaft KlArchoByz
203, Der Arbeitskreis „First Aid for All“ beantragt für die Anschaffung eines Fahrradanhängers die finanzielle Unterstützung
203, Antrag auf Kostenübernahme zur Bewerbung der Sturawahlen
203, Antrag auf Kostenübernahme der Zusammenarbeit mit dem Bündnis Widersetzten
203, Finanzierung des Vereinsausflug an die Kunsthalle Mannheim mit Führung und anschließendem Essen.
203, Finanzierung des Vortrags „Wie geht man mit Raubkunst in der Praxis um?“
203, Soziologisches Klugscheißen! – Finanzierung des studentischen Magazins „4310“
203, Bergheim Bolzt finanzieren! - Damit gemeinsamer Fakultätssport mit Studierenden und Dozierenden möglich und für alle Studierenden zugänglich bleibt
203, Finanzierung der Afterparty des interdisziplinären running dinners am 12.06.
203, Hygieneproduktespender für die Campus-Bibliothek in Bergheim
203, Finanzierung des Juraball 2025
203, Antrag auf Dringlichkeit
203, Grundfinanzierung des JazzLab Heidelberg
203, Finanzierung der Veröffentlichung und Werbung für die dritte Ausgabe der Literaturzeitschrift „Litter“ des Fachbereichs Anglistik
203, Antrag auf eine (teilweise) Übernahme der Kosten für eine Tagung
203, Finanzielle Unterstützung für das coolste Rollenspielevent in Heidelberg – der Dungeon of the Day!
203, Kandidatur für das Kultur- und Sportreferat
203, Kandidatur für Das Präsidium
203, Kandidatur für das autonome Enthinderungsreferat
203, Kandidatur für das autonome Enthinderungsreferat
203, Kandidatur für das autonome Enthinderungsreferat
203, Kandidatur für das autonome Enthinderungsreferat
203, Kandidatur für die Wahlkommission
203, Bericht des Vorsitzes
203, Bericht vom stud. Mitglied im SAL
203, Bericht zur Lage des Fachrates Lehramt
203," Wer wählt, der zählt! Positionierung für sich selbst"
203," Änderungsantrag: Wer wählt, der zählt! Positionierung für sich selbst"
203, „Mitgliedschaft im Bundesverband Promovierende e.V.“
203, Cooler Merch für die VS
203, Änderungsantrag zu Cooler Merch für die VS: der exekutive Cockblock
203, Aufnehmen von Lecktüchern in den Änderungsantrag
203, Antragsänderung Cooler Merch für die VS: Der StuRa rettet Leben
203, Kondome zu Samen! (zusamen)
203, Studierendenrat fordert konsequente Mülltrennung an der Universität
203, Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni-Gebäuden
203, Änderungsantrag zum Antrag „Studierendenrat fordert finanzielle Mittel für nachhaltige Sanierung von Uni Gebäuden“
203, Studierendenrat fordert Interimslösung für den Marstall
203, Gründung AK Im Neuenheimer Feld
203, Änderungsantrag zum Antrag „Gründung AK Im Neuenheimer Feld“
203, Gründung eines Nachhaltigkeitsnetzwerk
203, Forderung nach einem Green Offices
203, Transparenz zur Nachhaltigkeitsstrategie
203, Der Studierendenrat fordert einen Boykott der Coca-Cola Company
203, Zum Sozialismus! Zur Koka Kola Freiheit!
203, Mehr Fahrradstellplätze
203, Stoppt die massive Preiserhöhung beim Cappuccino!
203, Ausweitung der Leistungen des Studierendenwerks
203, Positionierung: Stärkung von pflanzlicher Verpflegung an der Universität
203, Positionierung: Unterstützung des langfristigen Ziels rein pflanzlicher Verpflegung an der Universität Heidelberg
203, Positionierung: Forderung einer inklusiveren Mensa
203, Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater
203, Positionierung: Verbot von zu heißem Verkehr
203, Positionierung: MLP aus dem TeM(L)Pel schmeißen!
203, Änderungsantrag: MLP aus dem TeM(L)Pel schmeißen!
203, Positionierung: Mehr Feld in die Feldmensa
203, Positionierung: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
203, Änderungsantrag: Aufhebung des Beschlusses „Positionierung des StuRa zur Zivilklausel“ vom 03.07.2018
203," Änderungsantrag: Aufhebung des Beschlusses ""Positionierung des StuRa zur Zivilklausel"" vom 03.07.2018"
203, Positionierung: Bar an den Pool statt auf/an dem Trockenen zu sitzen
203, Positionierung: Ja zur Zivilklausel! Nein zur Zivilklausel!
203," Positionierung: Männern, die Sexismus wagen, Mikros aus den Händen schlagen!"
203, Für den Umzug der VS
203, Satzungsänderung: Konstruktive Debatten im StuRa zulassen
203, Satzungsänderung: CVE 1 (Wahlordnung)
203, Satzungsänderung: Geschäftsordnung des Studierendenrats
203, Änderungsantrag: Geschäftsordnungsänderung des Präsidiums
203, Satzungsänderung: Bewirtungsfaschorichtlinie
203," Änderungsanträge zulassen, inhaltliche Arbeit  ermöglichen!"
203, „Rechtssicherheit für Beitragsänderungen“
203, Neue Amtszeiten für den Vorsitz
203, Änderungsantrag: Neue Amtszeiten für den Vorsitz
203, Änderungsantrag: Neue Amtszeiten für den Vorsitz
203, Satzungsänderung: Wahlordnung
203, Satzung zur Benennung der studentischen Mitglieder im Fachrat Lehramt
203, Kritik an der Exekutive / zentralen VS
203, Diskussion Causa Lemmermeyer
203, „Raumnot bei den Colis (und vielleicht auch bei euch)“
203, Wurftraining für StuRa-Mitglieder
203, Institutionalisierung von AKs und AGs
203, Verfahrensantrag für die Anträge im Senat
204, Eröffnung der 204. StuRa-Sitzung
204, Beschluss der Tagesordnung
204, Rundgang durch die Stura-Räume
204, Bericht des Vorsitzes
204, Für den Umzug der VS
204, „Raumnot bei den Colis (und vielleicht auch bei euch)“
204, Besuch der Rektorin
205, Eröffnung der 205. StuRa-Sitzung
205, Beschluss der Tagesordnung
205, Beschluss des Protokolls der 202. Sitzung
205, Beschluss des Protokolls der 203. Sitzung
205, Änderungsantrag: Änderung am Protokoll der 203. Sitzung des StuRa
205, Einrichtung einer Probe-Flatrate mit dem Kurpfälzischen Museum
205, Einrichtung einer Probe-Flatrate mit dem Völkerkundemuseum
205, [VORGEZOGEN] Wiederaufnahme der Probe-Flatrate mit dem Taeter-Theater
205, Finanzielle Unterstützung für das coolste Rollenspielevent in Heidelberg – der Dungeon of the Day!
205, Finanzierung der Veröffentlichung und Werbung für die dritte Ausgabe der Literaturzeitschrift „Litter“ des Fachbereichs Anglistik
205, Finanzierung des Vereinsausflug an die Kunsthalle Mannheim mit Führung und anschließendem Essen.
205, Finanzierung des Vortrags „Wie geht man mit Raubkunst in der Praxis um?“
205, Grundfinanzierung des JazzLab Heidelberg
205, Für den Umzug der VS 2
205, Sonstiger Antrag: Verfahrensantrag für die Anträge im Senat
205, Kandidatur für das Kultur- und Sportreferat
205, Kandidatur: Mitglied des StuWe-Verwaltung
205, Kandidatur: Mitglied des StuWe-Verwaltungsrates
205, Kandidatur: Mitglied des StuWe-Verwaltungsrates
205, Kandidatur für das autonome Enthinderung
205, Kandidatur für das autonome Enthinderungsreferat
205, Kandidatur für das autonome Enthinderungsreferat
205, Kandidatur für das autonome Enthinderungsreferat
205, Kandidatur für das autonome Enthinderungsreferat
205, Kandidatur: Stellvertretendes Mitglied des StuWe-Verwaltungsrates
205, Kandidatur für Das Präsidium
205, Kandidatur für die Wahlkommission
